year,key_team,win,loss,goals_for,goals_against
2000,SFN,1,3,11,13
2000,SLN,4,4,45,41
2001,ALS,1,0,4,1
2001,ARI,11,6,69,41
2001,ATL,4,4,29,28
2001,CLE,2,3,26,16
2001,HOU,0,3,6,14
2001,NLS,0,1,1,4
2001,NYA,10,7,57,71
2001,OAK,2,3,12,18
2001,SEA,4,6,38,51
2001,SLN,2,3,12,10
2002,ALS,0,0,7,7
2002,ANA,11,5,101,81
2002,ARI,0,3,6,20
2002,ATL,2,3,26,24
2002,MIN,4,6,39,55
2002,NLS,0,0,7,7
2002,NYA,1,3,25,31
2002,OAK,2,3,26,27
2002,SFN,10,7,91,83
2002,SLN,4,4,36,29
2003,ALS,1,0,7,6
2003,ATL,2,3,15,19
2003,BOS,6,6,46,48
2003,CHN,6,6,61,55
2003,FLO,11,6,77,79
2003,MIN,1,3,6,16
2003,NLS,0,1,6,7
2003,NYA,9,8,67,52
2003,OAK,2,3,18,17
2003,SFN,1,3,16,20
2004,ALS,1,0,9,4
2004,ANA,0,3,12,25
2004,ATL,2,3,21,36
2004,BOS,11,3,90,69
2004,HOU,6,6,67,55
2004,LAN,1,3,12,22
2004,MIN,1,3,17,21
2004,NLS,0,1,4,9
2004,NYA,6,5,66,58
2004,SLN,7,8,68,67
2005,ALS,1,0,7,5
2005,ANA,4,6,36,43
2005,ATL,1,3,21,25
2005,BOS,0,3,9,24
2005,CHA,11,1,67,34
2005,HOU,7,7,61,57
2005,NLS,0,1,5,7
2005,NYA,2,3,20,25
2005,SDN,0,3,11,21
2005,SLN,5,4,37,33
2006,ALS,1,0,3,2
2006,DET,8,5,55,45
2006,LAN,0,3,11,19
2006,MIN,0,3,7,16
2006,NLS,0,1,2,3
2006,NYA,1,3,14,22
2006,NYN,6,4,46,39
2006,OAK,3,4,25,29
2006,SDN,1,3,6,14
2006,SLN,11,5,64,44
2007,ALS,1,0,5,4
2007,ANA,0,3,4,19
2007,ARI,3,4,24,24
2007,BOS,11,3,99,46
2007,CHN,0,3,6,16
2007,CLE,6,5,56,67
2007,COL,7,4,44,45
2007,NLS,0,1,4,5
2007,NYA,1,3,16,24
2007,PHI,0,3,8,16
2008,ALS,1,0,4,3
2008,ANA,1,3,13,18
2008,BOS,6,5,46,56
2008,CHA,1,3,13,21
2008,CHN,0,3,6,20
2008,LAN,4,4,40,31
2008,MIL,1,3,9,15
2008,NLS,0,1,3,4
2008,PHI,11,3,64,44
2008,TBA,8,8,79,65
2009,ALS,1,0,4,3
2009,ANA,5,4,35,40
2009,BOS,0,3,7,16
2009,COL,1,3,15,20
2009,LAN,4,4,29,41
2009,MIN,0,3,6,15
2009,NLS,0,1,3,4
2009,NYA,11,4,80,52
2009,PHI,9,6,82,63
2009,SLN,0,3,6,13
2010,ALS,0,1,1,3
2010,ATL,1,3,9,11
2010,CIN,0,3,4,13
2010,MIN,0,3,7,17
2010,NLS,1,0,3,1
2010,NYA,5,4,36,45
2010,PHI,5,4,33,23
2010,SFN,11,4,59,41
2010,TBA,2,3,13,21
2010,TEX,8,8,71,61
2011,ALS,0,1,1,5
2011,ARI,2,3,25,23
2011,DET,5,6,42,67
2011,MIL,5,6,49,68
2011,NLS,1,0,5,1
2011,NYA,2,3,28,17
2011,PHI,2,3,21,19
2011,SLN,11,7,100,77
2011,TBA,1,3,21,16
2011,TEX,10,7,85,84
2012,ALS,0,1,0,8
2012,ATL,0,1,3,6
2012,BAL,3,3,15,17
2012,CIN,2,3,22,18
2012,DET,7,6,42,33
2012,NLS,1,0,8,0
2012,NYA,3,6,22,29
2012,OAK,2,3,11,17
2012,SFN,11,5,69,47
2012,SLN,7,6,57,54
2012,TEX,0,1,1,5
2012,WAS,2,3,16,32
2013,ALS,1,0,3,0
2013,ATL,1,3,14,26
2013,BOS,11,5,72,44
2013,CIN,0,1,2,6
2013,CLE,0,1,0,4
2013,DET,5,6,35,34
2013,LAN,5,5,39,35
2013,NLS,0,1,0,3
2013,OAK,2,3,15,17
2013,PIT,3,3,21,23
2013,SLN,9,8,56,55
2013,TBA,2,3,16,26
2014,ALS,1,0,5,3
2014,ANA,0,3,6,15
2014,BAL,3,4,33,28
2014,DET,0,3,10,21
2014,KCA,11,4,69,56
2014,LAN,1,3,15,18
2014,NLS,0,1,3,5
2014,OAK,0,1,8,9
2014,PIT,0,1,0,8
2014,SFN,12,5,71,52
2014,SLN,4,5,34,39
2014,WAS,1,3,9,9
2015,ALS,1,0,6,3
2015,CHN,4,5,32,38
2015,HOU,3,3,24,25
2015,KCA,11,5,90,66
2015,LAN,2,3,18,22
2015,NLS,0,1,3,6
2015,NYA,0,1,0,3
2015,NYN,8,6,62,53
2015,PIT,0,1,0,4
2015,SLN,1,3,17,20
2015,TEX,2,3,19,26
2015,TOR,5,6,52,57
2016,ALS,1,0,4,2
2016,BAL,0,1,2,5
2016,BOS,0,3,7,15
2016,CHN,11,6,75,57
2016,CLE,10,5,54,42
2016,LAN,5,6,36,55
2016,NLS,0,1,2,4
2016,NYN,0,1,0,3
2016,SFN,2,3,16,17
2016,TEX,0,3,10,22
2016,TOR,5,4,35,24
2016,WAS,2,3,24,19
2017,ALS,1,0,2,1
2017,ARI,1,3,22,28
2017,BOS,1,3,18,24
2017,CHN,4,6,25,48
2017,CLE,2,3,18,21
2017,COL,0,1,8,11
2017,HOU,11,7,78,74
2017,LAN,10,5,82,53
2017,MIN,0,1,4,8
2017,NLS,0,1,1,2
2017,NYA,7,6,51,42
2017,WAS,2,3,20,17
